q,H,metric,mean,lo,hi
0.01,1200,stage2,0.13516666666666666,0.11633333333333334,0.16383749999999997
0.01,1300,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1300,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1300,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1300,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1300,oracle,0.09849999999999999,0.09283333333333328,0.10466666666666664
0.01,1300,stage1,0.4725000000000001,0.4625000000000001,0.4809999999999998
0.01,1300,stage2,0.1215,0.11249999999999999,0.13166666666666665
0.01,1400,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1400,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1400,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1400,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1400,oracle,0.09416666666666665,0.08816666666666663,0.09999999999999999
0.01,1400,stage1,0.4668333333333334,0.4565,0.47616666666666674
0.01,1400,stage2,0.10749999999999998,0.09833333333333334,0.11683333333333334
0.01,1500,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1500,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1500,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1500,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1500,oracle,0.08016666666666665,0.07466666666666665,0.08549999999999998
0.01,1500,stage1,0.47300000000000003,0.4663333333333333,0.4788333333333332
0.01,1500,stage2,0.08999999999999998,0.08366666666666663,0.09633333333333333
0.01,1600,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1600,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1600,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1600,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1600,oracle,0.07749999999999997,0.06983333333333333,0.08516666666666664
0.01,1600,stage1,0.4696666666666667,0.4595,0.47866666666666663
0.01,1600,stage2,0.08349999999999999,0.07632916666666664,0.0905
0.01,1700,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1700,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1700,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1700,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1700,oracle,0.0685,0.061500000000000006,0.07583333333333332
0.01,1700,stage1,0.47,0.4613333333333333,0.4776666666666667
0.01,1700,stage2,0.07583333333333332,0.06899999999999999,0.08366666666666663
0.01,1800,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1800,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1800,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1800,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1800,oracle,0.057666666666666665,0.05233333333333336,0.06333333333333334
0.01,1800,stage1,0.46649999999999997,0.45799999999999996,0.47483333333333333
0.01,1800,stage2,0.07316666666666664,0.06633333333333333,0.08083333333333333
0.01,1900,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1900,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,1900,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,1900,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,1900,oracle,0.058833333333333335,0.05266666666666668,0.06533333333333333
0.01,1900,stage1,0.46966666666666657,0.4615,0.4766666666666666
0.01,1900,stage2,0.06683333333333333,0.06150000000000001,0.07249999999999998
0.01,2000,D_pi,0.004456106659105246,0.004456106659105246,0.004456106659105246
