T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
300,500,40,71,0.016910942271351814,0.22403919324278831,0.0019469410181045532,0.3299488238990307,0.5728459004312754,0.21999999999999997,0.21999999999999997
300,500,40,72,0.01668497547507286,0.21916191093623638,0.0021131224930286407,0.33247290551662445,0.5704329144209623,0.2866666666666666,0.2866666666666666
300,500,40,73,0.017376523464918137,0.28437141701579094,0.001895703375339508,0.3380068391561508,0.6416504830121994,0.3633333333333333,0.3633333333333333
300,500,40,74,0.01855766400694847,0.4361342005431652,0.0020964238792657852,0.3295690733939409,0.7863573618233204,0.32666666666666666,0.32666666666666666
300,500,40,75,0.016899464651942253,0.2367171235382557,0.002187831327319145,0.3439478762447834,0.5997522957623005,0.32666666666666666,0.32666666666666666
300,500,40,76,0.01568090356886387,0.4003875032067299,0.002227412536740303,0.3373302277177572,0.7556260470300913,0.2766666666666666,0.2766666666666666
300,500,40,77,0.021555855870246887,0.456542344763875,0.00908350758254528,0.3187133353203535,0.8058950435370207,0.36,0.36
300,500,40,78,0.018497474491596222,0.44321983493864536,0.002199852839112282,0.3229453079402447,0.7868624702095985,0.36,0.36
300,500,40,79,0.019762104377150536,0.2944180276244879,0.008132996037602425,0.3360382467508316,0.6583513747900724,0.29000000000000004,0.29000000000000004
300,500,40,80,0.022510316222906113,0.37827889807522297,0.008889146149158478,0.326199309900403,0.7358776703476906,0.3533333333333334,0.3533333333333334
300,500,40,81,0.016872623935341835,0.2562008276581764,0.001835281029343605,0.3361399173736572,0.6110486499965191,0.30333333333333334,0.30333333333333334
300,500,40,82,0.016053592786192894,0.21869699098169804,0.0023511704057455063,0.3330323360860348,0.5701340902596712,0.29000000000000004,0.29000000000000004
300,500,40,83,0.01625674217939377,0.22584647685289383,0.001773681491613388,0.3220055680721998,0.5658824685961008,0.2733333333333333,0.2733333333333333
300,500,40,84,0.016067342832684517,0.2500911131501198,0.002511152997612953,0.34122071228921413,0.6098903212696314,0.3566666666666667,0.3566666666666667
300,500,40,85,0.016044411808252335,0.2455880120396614,0.002350572496652603,0.33568787574768066,0.599670872092247,0.29666666666666663,0.29666666666666663
300,500,40,86,0.017472222447395325,0.23661009408533573,0.001940721645951271,0.3271549120545387,0.583177950233221,0.22333333333333338,0.21999999999999997
300,500,40,87,0.01653873175382614,0.42153840884566307,0.0019219927489757538,0.32343326695263386,0.7634324003010988,0.3633333333333333,0.3633333333333333
300,500,40,88,0.016655122861266136,0.22492237389087677,0.002251211553812027,0.3270287308841944,0.5708574391901493,0.29333333333333333,0.29333333333333333
300,500,40,89,0.015721092000603676,0.2815428599715233,0.0025500208139419556,0.3383749797940254,0.6381889525800943,0.22333333333333338,0.22333333333333338
400,500,40,90,0.01859309710562229,0.32274698093533516,0.002971101552248001,0.411401754245162,0.7557129338383675,0.18000000000000005,0.18000000000000005
400,500,40,91,0.019886892288923264,0.3458724468946457,0.0030811019241809845,0.41457790695130825,0.7834183480590582,0.21999999999999997,0.21750000000000003
400,500,40,92,0.01864072121679783,0.26117853447794914,0.0032508522272109985,0.4130125567317009,0.6960826646536589,0.345,0.345
400,500,40,93,0.02202615700662136,0.3588895034044981,0.003393830731511116,0.41331504471600056,0.7976245358586311,0.23250000000000004,0.21999999999999997
400,500,40,94,0.019765576347708702,0.33262023515999317,0.00341213122010231,0.40757235139608383,0.763370294123888,0.38,0.38
400,500,40,95,0.019107863306999207,0.25719290040433407,0.002727065235376358,0.4070502705872059,0.6860780995339155,0.265,0.265
400,500,40,96,0.019511504098773003,0.26339056342840195,0.0026102401316165924,0.4035038072615862,0.6890161149203777,0.3075,0.3075
400,500,40,97,0.019566643983125687,0.2624646332114935,0.0027558524161577225,0.4078531600534916,0.6926402896642685,0.26249999999999996,0.26
400,500,40,98,0.018486514687538147,0.25116661563515663,0.0026909615844488144,0.41272932663559914,0.6850734185427427,0.29500000000000004,0.29500000000000004
400,500,40,99,0.019829217344522476,0.2692934088408947,0.0038953814655542374,0.4128981549292803,0.7059161625802517,0.28500000000000003,0.28500000000000003
400,500,40,100,0.018791403621435165,0.25069753266870975,0.002679940313100815,0.41692233830690384,0.6890912149101496,0.19499999999999995,0.19499999999999995
400,500,40,101,0.021535787731409073,0.28638861142098904,0.0029716603457927704,0.4130879361182451,0.723983995616436,0.3175,0.3175
400,500,40,102,0.01871812343597412,0.27440672367811203,0.004569634795188904,0.41277171298861504,0.7104661948978901,0.3075,0.3075
400,500,40,103,0.020592505112290382,0.3259367886930704,0.002779962494969368,0.4135121162980795,0.7628213725984097,0.2925,0.29000000000000004
400,500,40,104,0.02351546846330166,0.31317466124892235,0.0031650736927986145,0.41023622266948223,0.7500914260745049,0.22250000000000003,0.22250000000000003
400,500,40,105,0.017995763570070267,0.26189207285642624,0.0027686432003974915,0.39410593919456005,0.676762418821454,0.40249999999999997,0.40249999999999997
400,500,40,106,0.018884465098381042,0.27778730541467667,0.0033566635102033615,0.40973876416683197,0.709767198190093,0.22750000000000004,0.22750000000000004
400,500,40,107,0.023563846945762634,0.351486898958683,0.010624408721923828,0.4090121053159237,0.7946872599422932,0.3175,0.3175
400,500,40,108,0.018714161589741707,0.26922962814569473,0.002921292558312416,0.41903601959347725,0.7099011018872261,0.27,0.26749999999999996
400,500,40,109,0.02112424559891224,0.25740318931639194,0.003077251836657524,0.4014503452926874,0.6830550320446491,0.29500000000000004,0.2925
400,500,40,110,0.01960400491952896,0.26324015483260155,0.0030182041227817535,0.40636590123176575,0.692228265106678,0.1975,0.1975
400,500,40,111,0.0185169018805027,0.2802544869482517,0.00283094123005867,0.4080936126410961,0.7096959426999092,0.3375,0.33499999999999996
400,500,40,112,0.020295606926083565,0.2780158147215843,0.0028576012700796127,0.40327501855790615,0.7044440414756536,0.345,0.33999999999999997
400,500,40,113,0.020578734576702118,0.261182663962245,0.0033737309277057648,0.3988803140819073,0.6840154435485601,0.3425,0.3425
400,500,40,114,0.020728586241602898,0.2729913517832756,0.0035406146198511124,0.4030465092509985,0.7003070618957281,0.37250000000000005,0.37250000000000005
400,500,40,115,0.019069824367761612,0.2574788797646761,0.0027372706681489944,0.4014687892049551,0.6807547640055418,0.26749999999999996,0.265
400,500,40,116,0.021318797022104263,0.2553460393100977,0.003153173252940178,0.4147058352828026,0.6945238448679447,0.275,0.275
400,500,40,117,0.020230434834957123,0.25165099650621414,0.003223251551389694,0.40059953555464745,0.6757042184472084,0.35,0.35
400,500,40,118,0.01944306492805481,0.26032876037061214,0.002717563882470131,0.4013825487345457,0.6838719379156828,0.2825,0.2825
400,500,40,119,0.019497836008667946,0.25831238925457,0.003086991608142853,0.4122768547385931,0.6931740716099739,0.3425,0.3425
500,500,40,120,0.02230425737798214,0.2919832766056061,0.002134213224053383,0.49827305041253567,0.8146947976201773,0.256,0.246
500,500,40,121,0.023823967203497887,0.3073661271482706,0.002086430788040161,0.5097458884119987,0.8430224135518074,0.36,0.358
500,500,40,122,0.02308916486799717,0.30977801978588104,0.0020042918622493744,0.4953664280474186,0.8302379045635462,0.31799999999999995,0.31399999999999995
500,500,40,123,0.022544385865330696,0.2920366358011961,0.0019837692379951477,0.4976472817361355,0.8142120726406574,0.30600000000000005,0.30600000000000005
500,500,40,124,0.022274086251854897,0.29649986140429974,0.002002852037549019,0.4981363005936146,0.8189131002873182,0.278,0.27
500,500,40,125,0.023981068283319473,0.301550904288888,0.0019954610615968704,0.5040147937834263,0.8315422274172306,0.34199999999999997,0.34199999999999997
500,500,40,126,0.02359248884022236,0.30872757732868195,0.002019573003053665,0.4955586176365614,0.8298982568085194,0.32199999999999995,0.32199999999999995
500,500,40,127,0.023637140169739723,0.287695812061429,0.0021853316575288773,0.5062081664800644,0.819726450368762,0.276,0.274
500,500,40,128,0.02220928482711315,0.2991712708026171,0.001958319917321205,0.5059161260724068,0.8292550016194582,0.31799999999999995,0.31399999999999995
500,500,40,129,0.023052968084812164,0.30139039643108845,0.0019558705389499664,0.4979281611740589,0.8243273962289095,0.262,0.252
500,500,40,130,0.02377478778362274,0.3135008215904236,0.003257863223552704,0.5094550885260105,0.8499885611236095,0.30800000000000005,0.30800000000000005
500,500,40,131,0.023135578259825706,0.29685707949101925,0.0033186636865139008,0.49373498745262623,0.8170463088899851,0.346,0.33799999999999997
500,500,40,132,0.023419687524437904,0.3622676897794008,0.0018320214003324509,0.4985357504338026,0.8860551491379738,0.364,0.364
500,500,40,133,0.021526183933019638,0.3084387071430683,0.002133261412382126,0.5031145066022873,0.8352126590907574,0.28400000000000003,0.28
500,500,40,134,0.0288680512458086,0.3101202417165041,0.011367050930857658,0.5036533437669277,0.8540086876600981,0.278,0.276
500,500,40,135,0.02377442829310894,0.306095939129591,0.002362441271543503,0.5025238040834665,0.83475661277771,0.344,0.34199999999999997
500,500,40,136,0.03020620346069336,0.362965140491724,0.0017161909490823746,0.507955638691783,0.9028431735932827,0.33999999999999997,0.33999999999999997
500,500,40,137,0.0231228768825531,0.3034980669617653,0.0019457638263702393,0.5034442041069269,0.8320109117776155,0.20799999999999996,0.20399999999999996
500,500,40,138,0.023147068917751312,0.2988825011998415,0.0022375714033842087,0.5034401845186949,0.8277073260396719,0.30000000000000004,0.29800000000000004
500,500,40,139,0.023556025698781013,0.37306537479162216,0.002138311043381691,0.5038260575383902,0.902585769072175,0.21599999999999997,0.21399999999999997
