# T,H,StageI_mean,StageI_lower,StageI_upper,StageII_mean,StageII_lower,StageII_upper,StageII10_mean,StageII10_lower,StageII10_upper
5.000000000000000000e+02,4.000000000000000000e+01,3.800000000000001727e-03,9.333333333333341912e-04,9.333333333333341912e-04,1.333333333333333506e-03,5.999999999999999474e-04,6.666666666666669697e-04,1.400000000000000419e-03,6.000000000000001643e-04,6.666666666666667528e-04
5.000000000000000000e+02,5.000000000000000000e+01,6.666666666666667528e-04,3.333333333333334306e-04,3.333333333333337017e-04,2.666666666666666794e-04,2.666666666666666794e-04,3.333333333333333764e-04,2.666666666666666794e-04,2.666666666666666794e-04,3.333333333333333764e-04
5.000000000000000000e+02,6.000000000000000000e+01,4.000000000000000192e-04,2.666666666666666794e-04,4.000000000000000192e-04,1.333333333333333397e-04,1.333333333333333397e-04,1.999999999999999825e-04,1.333333333333333397e-04,1.333333333333333397e-04,1.999999999999999825e-04
5.000000000000000000e+02,7.000000000000000000e+01,2.666666666666666794e-04,2.000000000000000096e-04,2.666666666666666794e-04,6.666666666666666986e-05,6.666666666666666986e-05,1.333333333333333397e-04,6.666666666666666986e-05,6.666666666666666986e-05,1.333333333333333397e-04
5.000000000000000000e+02,8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+02,1.000000000000000000e+01,2.139444444444444371e-01,1.655555555555557334e-02,1.783472222222221015e-02,1.417222222222222217e-01,1.394444444444439823e-02,1.566666666666666208e-02,8.844444444444442277e-02,4.555555555555507175e-03,4.223611111111136296e-03
6.000000000000000000e+02,2.000000000000000000e+01,4.566666666666666097e-02,3.055555555555547476e-03,3.055555555555568292e-03,1.827777777777777821e-02,1.777777777777777429e-03,1.833333333333332649e-03,1.644444444444444556e-02,1.333333333333335674e-03,1.444444444444442643e-03
6.000000000000000000e+02,3.000000000000000000e+01,1.349999999999999985e-02,1.555555555555554817e-03,1.499999999999996128e-03,3.888888888888888343e-03,8.888888888888895820e-04,9.444444444444426330e-04,3.833333333333333558e-03,8.888888888888895820e-04,8.888888888888887146e-04
6.000000000000000000e+02,4.000000000000000000e+01,3.777777777777777471e-03,8.333333333333334952e-04,8.333333333333334952e-04,7.222222222222222975e-04,3.333333333333333764e-04,3.333333333333333764e-04,7.222222222222222975e-04,3.333333333333333764e-04,3.333333333333333764e-04
6.000000000000000000e+02,5.000000000000000000e+01,1.555555555555555467e-03,5.569444444444438935e-04,6.111111111111106661e-04,3.888888888888889211e-04,2.777777777777778317e-04,3.333333333333333764e-04,3.888888888888889211e-04,2.777777777777778317e-04,3.333333333333333764e-04
6.000000000000000000e+02,6.000000000000000000e+01,2.777777777777777775e-04,2.222222222222222329e-04,2.222222222222222329e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+02,7.000000000000000000e+01,1.111111111111111164e-04,1.111111111111111164e-04,1.666666666666666611e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+02,8.000000000000000000e+01,5.555555555555555822e-05,5.555555555555555822e-05,1.111111111111111029e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+02,9.000000000000000000e+01,5.555555555555555822e-05,5.555555555555555822e-05,1.111111111111111029e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
